Algorithm,Cores,N(b),Integration_step,time
gauss.py,8,1.4615384615384617,5e-06,0.5358536019921303
gauss.py,8,1.4615384615384617,5e-06,0.5289112729951739
gauss.py,8,1.4615384615384617,5e-06,0.5434234999120235
gauss.py,8,1.4615384615384617,5e-06,0.5353829013183713
gauss.py,8,1.4615384615384617,5e-06,0.5236769272014499
gauss.py,8,1.4615384615384617,5e-06,0.5510577587410808
gauss.py,8,1.4615384615384617,5e-06,0.5394670655950904
gauss.py,8,1.4615384615384617,5e-06,0.506661401130259
gauss.py,8,1.4615384615384617,5e-06,0.4704156657680869
gauss.py,8,1.4615384615384617,5e-06,0.5310691315680742
gauss.py,8,1.4615384615384617,5e-06,0.5325774466618896
gauss.py,8,1.4615384615384617,5e-06,0.49534007254987955
gauss.py,8,1.4615384615384617,5e-06,0.5349088031798601
gauss.py,8,1.4615384615384617,5e-06,0.5285232430323958
gauss.py,8,1.4615384615384617,5e-06,0.47657010424882174
gauss.py,8,1.4615384615384617,5e-06,0.5564367575570941
gauss.py,8,1.4615384615384617,5e-06,0.5438387589529157
gauss.py,8,1.4615384615384617,5e-06,0.46234598476439714
gauss.py,8,1.4615384615384617,5e-06,0.5102516012266278
gauss.py,8,1.4615384615384617,5e-06,0.5504068583250046
gauss.py,8,1.4615384615384617,5e-06,0.5219178721308708
gauss.py,8,1.4615384615384617,5e-06,0.5016064438968897
gauss.py,8,1.4615384615384617,5e-06,0.48558641504496336
gauss.py,8,1.4615384615384617,5e-06,0.5290327873080969
gauss.py,8,1.4615384615384617,5e-06,0.4559037694707513
gauss.py,8,1.4615384615384617,5e-06,0.5215040314942598
gauss.py,8,1.4615384615384617,5e-06,0.5590225216001272
gauss.py,8,1.4615384615384617,5e-06,0.5156905660405755
gauss.py,8,1.4615384615384617,5e-06,0.5351768946275115
gauss.py,8,1.4615384615384617,5e-06,0.553420134820044
gauss.py,8,1.4615384615384617,5e-06,0.5226526949554682
gauss.py,8,1.6923076923076923,5e-06,0.5657604718580842
gauss.py,8,1.6923076923076923,5e-06,0.5800101747736335
gauss.py,8,1.6923076923076923,5e-06,0.5421164995059371
gauss.py,8,1.6923076923076923,5e-06,0.5499453973025084
gauss.py,8,1.6923076923076923,5e-06,0.5863275704905391
gauss.py,8,1.6923076923076923,5e-06,0.5617725970223546
gauss.py,8,1.6923076923076923,5e-06,0.5030153021216393
gauss.py,8,1.6923076923076923,5e-06,0.48644798062741756
gauss.py,8,1.6923076923076923,5e-06,0.5072412109002471
gauss.py,8,1.6923076923076923,5e-06,0.491817987523973
gauss.py,8,1.6923076923076923,5e-06,0.4901528637856245
gauss.py,8,1.6923076923076923,5e-06,0.5052307359874249
gauss.py,8,1.6923076923076923,5e-06,0.519514411687851
gauss.py,8,1.6923076923076923,5e-06,0.5251767328009009
gauss.py,8,1.6923076923076923,5e-06,0.5191546278074384
gauss.py,8,1.6923076923076923,5e-06,0.5554392458871007
gauss.py,8,1.6923076923076923,5e-06,0.5389477331191301
gauss.py,8,1.6923076923076923,5e-06,0.5574979204684496
gauss.py,8,1.6923076923076923,5e-06,0.5700393514707685
gauss.py,8,1.6923076923076923,5e-06,0.5449980404227972
gauss.py,8,1.6923076923076923,5e-06,0.5248150434345007
gauss.py,8,1.6923076923076923,5e-06,0.5366600956767797
gauss.py,8,1.6923076923076923,5e-06,0.5595962274819613
gauss.py,8,1.6923076923076923,5e-06,0.5607066340744495
gauss.py,8,1.6923076923076923,5e-06,0.5385696580633521
gauss.py,8,1.6923076923076923,5e-06,0.50624636746943
gauss.py,8,1.6923076923076923,5e-06,0.5034151021391153
