Algorithm,Cores,AVG_time
trapesoidal.py,13,0.6150955652818084
trapesoidal.py,14,0.628969339877367
trapesoidal.py,15,0.6523441626131534
trapesoidal.py,16,0.6844292807579041
trapesoidal.py,17,0.7482081011682749
trapesoidal.py,18,0.7566863415762782
trapesoidal.py,19,0.7850039712339639
trapesoidal.py,20,0.8015253124386073
trapesoidal.py,21,0.8533767260611057
trapesoidal.py,22,0.8581689688563346
trapesoidal.py,23,0.8763058333843946
trapesoidal.py,24,0.9138953554630279
trapesoidal.py,25,0.9719000417366623
trapesoidal.py,26,0.9526404767110944
trapesoidal.py,27,0.990016837567091
trapesoidal.py,28,1.028620033338666
trapesoidal.py,29,1.1087451509013773
trapesoidal.py,30,1.0539816977083682
trapesoidal.py,31,1.1351910622790455
trapesoidal.py,32,1.1312612557411195
trapesoidal.py,33,1.142816702388227
